Itemname,ItemName,Category,Tags,PriceTags
ECOSPRIN GOLD 20 TAB,ecosprin gold 20 tab,tablets,1*15,107.328
ECOX 800,ecox 800,tablets,6TAB,20.88
EFOTEL CT 40,efotel ct 40,tablets,1*10,49.923
EFOTEL TRIO TAB,efotel trio tab,tablets,1*10,99.085
EIDO,eido,tablets,10,46.084
EIDO-FE,eido-fe,tablets,10CAP,111.359
EIDO-FE FORTE,eido-fe forte,tablets,10TAB,135.16
ELTOCIN TAB,eltocin tab,tablets,1*15,50.58
ELTROXIN 100MCG TAB,eltroxin 100mcg tab,tablets,1*100,122.455
ELTROXIN 125,eltroxin 125,tablets,100TAB,77.28
ELTROXIN 25 TAB,eltroxin 25 tab,tablets,1*60,65.9733
ELTROXIN 50 TAB,eltroxin 50 tab,tablets,1*50,61.29
ELTROXIN 75MG,eltroxin 75mg,tablets,1*60,65.8833
EMBETA AM-25,embeta am-25,tablets,10TAB,67.585
EMBETA AM 50,embeta am 50,tablets,10TAB,87.985
EMBETA XR 100,embeta xr 100,tablets,10,100.605
EMBETA XR 12.5,embeta xr 12.5,tablets,10TAB,29.934
EMBETA XR 25,embeta xr 25,tablets,30TAB,101.571
EMBETA XR 50 TAB,embeta xr 50 tab,tablets,30TAB,142.764
EMESET-4,emeset-4,tablets,10TAB,33.152
EMESET-8,emeset-8,tablets,1*10,75.34
EMIDOXYN MD,emidoxyn md,tablets,10,48.42
EMIKIND-MD,emikind-md,tablets,10TAB,30.98
EMLIVE FORTE CAP,emlive forte cap,tablets,10CAP,46.085
EMMUFAST TAB,emmufast tab,tablets,10TAB,32.532
ENAM 5MG,enam 5mg,tablets,15,40.7895
ENCELIN M 50/500,encelin m 50/500,tablets,1*10,53
ENCORATE 300,encorate 300,tablets,1*10,34.418
ENCORATE CHRONO 500MG,encorate chrono 500mg,tablets,1*10,83.715
ENCORATE CRONO 200,encorate crono 200,tablets,10TAB,24.723
ENCORATE CRONO 300,encorate crono 300,tablets,10TAB,53.965
ENSULES PLUS,ensules plus,tablets,1*10,191.99
ENTEROGERMIN,enterogermin,tablets,1*4,113.304
ENTERO QUINOL,entero quinol,tablets,20TAB,31.354
ENTERO QUINOL TAB 250MG,entero quinol tab 250mg,tablets,1*20,28.26
ENTROFLORA CAPSULES,entroflora capsules,tablets,10CAP,162.815
ENVAS 10 TAB,envas 10 tab,tablets,1*15,63.2445
ENVAS 2.5MG TAB,envas 2.5mg tab,tablets,1*15,24.3525
ENVAS 5 TAB,envas 5 tab,tablets,1*15,41.2635
ENVAS H TAB,envas h tab,tablets,1*10,55.687
ENZAR FORTE  1*15,enzar forte  1*15,tablets,15TAB,104.07
ENZOFLAM CT,enzoflam ct,tablets,15TAB,195.834
ENZOFLAM-TAB,enzoflam-tab,tablets,1*10,100.4
ENZOHEAL-D TAB,enzoheal-d tab,tablets,1*10,179.095
ENZOHEAL TAB,enzoheal tab,tablets,1*15,236.1555
ENZOMAC FORTE TAB,enzomac forte tab,tablets,1*10,335.61
ENZOMAC PLUS TAB,enzomac plus tab,tablets,10TAB,179.095
ENZOMAC TAB,enzomac tab,tablets,15TAB,236.1555
ENZOX PLUS,enzox plus,tablets,TAB,59.842
EPIGOLD-XR 300,epigold-xr 300,tablets,10,68.345
EPILEX CHRONO 200,epilex chrono 200,tablets,15TAB,96.8025
EPILEX  CHRONO 500,epilex  chrono 500,tablets,15,124.107
EPILEX CRONO 300,epilex crono 300,tablets,15TAB,80.067
EPILIVE 250,epilive 250,tablets,15TAB,74.4045
EPILIVE 500 TAB,epilive 500 tab,tablets,15TAB,149.115
EPITOP 50,epitop 50,tablets,10,67.2
EPITRA 500MG,epitra 500mg,tablets,10TAB,108.783
EPITRIL 0.25,epitril 0.25,tablets,1*10,15.367
EPITRIL 0.5,epitril 0.5,tablets,10TAB,27.226
EPSOLIN 100MG,epsolin 100mg,tablets,1*100,117.96
EPSOLIN 300 TAB,epsolin 300 tab,tablets,30TAB,121.91
EPSOLIN ER 300,epsolin er 300,tablets,1*1,149.32
EPTOIN-100 TAB,eptoin-100 tab,tablets,1*100,158.1
EPTOIN 50MG TAB,eptoin 50mg tab,tablets,1*100,94.18
EPTOIN ER 300 TAB,eptoin er 300 tab,tablets,1*30,146.226
ERINAC P TAB,erinac p tab,tablets,1*10,29.64
ERITEL 20,eritel 20,tablets,1*15,46.83
ERITEL 40MG,eritel 40mg,tablets,1*15,84.756
ERITEL 80,eritel 80,tablets,15TAB,129.1455
ERITEL 80 AM,eritel 80 am,tablets,15TAB,246.7005
ERITEL 80 H,eritel 80 h,tablets,15TAB,262.0905
ERITEL-AM TAB,eritel-am tab,tablets,1*15,150.27
ERITEL B 50,eritel b 50,tablets,15,157.8
ERITEL CH 40,eritel ch 40,tablets,15TAB,145.3305
ERITEL-CH 80,eritel-ch 80,tablets,1*15,249.6195
ERITEL  H,eritel  h,tablets,1*15,159.8595
ERITEL LN40,eritel ln40,tablets,1*15,128.8005
ERITEL LN 80,eritel ln 80,tablets,1*15,192.3645
ERITEL TRIO TAB,eritel trio tab,tablets,1*15,151.485
ESAM 5,esam 5,tablets,10TAB,75.973
ESCITALENT 10 TAB,escitalent 10 tab,tablets,1*10,68.65
ESCITALENT PLUS TAB,escitalent plus tab,tablets,1*10,89.874
ESGIPYRIN TAB 1*15,esgipyrin tab 1*15,tablets,15TAB,61.4535
ESLO 5,eslo 5,tablets,15TAB,108.9345
ESLO TEL 2.5MG,eslo tel 2.5mg,tablets,15,144.4305
ESOFAG-D TAB,esofag-d tab,tablets,1*10,94.96
ESOFAG L,esofag l,tablets,1*10,172.8
ESOGA-RD CAP,esoga-rd cap,tablets,1*10,105.175
ESOGRAP DSR,esograp dsr,tablets,1*10,107.52
ESOGRAP L,esograp l,tablets,1*10,138.238
ESOGRESS D,esogress d,tablets,10TAB,94.52
ESOKEM-D,esokem-d,tablets,10CAP,61.565
ESOKEM D,esokem d,tablets,15TAB,102.5355
ESOPAM LITE TAB,esopam lite tab,tablets,1*10,88.8
ESOZ-40 TAB,esoz-40 tab,tablets,1*15,117.315
ESOZ D 20,esoz d 20,tablets,1*10,84.8
ESOZ D 40MG CAP,esoz d 40mg cap,tablets,1*10,118.165
ESOZ L,esoz l,tablets,1*10,180.487
ESRAM-20,esram-20,tablets,10TAB,100.8
ESSENTIALE- L 1GM,essentiale- l 1gm,tablets,10CAP,269.57
ETERNEX M 500,eternex m 500,tablets,1*10,112.203
ETHIDE TAB,ethide tab,tablets,1*6,79.485
ETHIPRO TAB,ethipro tab,tablets,6TAB,65.01
ETHOMID TAB,ethomid tab,tablets,1*10,116.433
ETHRONE TAB,ethrone tab,tablets,10TAB,43.04
ETILAAM-0.25 TAB,etilaam-0.25 tab,tablets,1*10,21.804
ETILAAM 0.5 TAB,etilaam 0.5 tab,tablets,1*10,41.08
ETILAAM PRO 20,etilaam pro 20,tablets,10TAB,50.4
ETILAM PBO,etilam pbo,tablets,20,0
ETIMARK 0.5,etimark 0.5,tablets,10TAB,33.71
ETINACT-P,etinact-p,tablets,1*10,76.07
ETIPAX-0.5 TAB,etipax-0.5 tab,tablets,1*10,31.49
ETIZEP 0.25 TAB,etizep 0.25 tab,tablets,1*10,20.742
ETIZEP 0.5,etizep 0.5,tablets,10TAB,38.394
ETIZOLA 0.25,etizola 0.25,tablets,1*15,43.083
ETIZOLA 0.5,etizola 0.5,tablets,10TAB,41.396
ETIZOLA PLUS 5,etizola plus 5,tablets,10TAB,81.52
ETIZY 0.25,etizy 0.25,tablets,10,22.034
ETOBEST 400,etobest 400,tablets,10TAB,107.415
ETOBEST 600SR,etobest 600sr,tablets,10,151.18
ETOCOX 90MG TAB,etocox 90mg tab,tablets,10,72.97
ETOFLAM-P,etoflam-p,tablets,10,46.965
ETOFREE-400 TAB,etofree-400 tab,tablets,1*10,56.98
ETOFREE 600ER,etofree 600er,tablets,10,139.355
ETOGESIC 400 TAB,etogesic 400 tab,tablets,1*10,62.05
ETOGESIC-ER 600 TAB,etogesic-er 600 tab,tablets,1*10,138.01
ETOGESIC-MR TAB,etogesic-mr tab,tablets,1*10,163.97
ETOGESIC-P TAB,etogesic-p tab,tablets,1*10,72.8
ETOGESIC T TAB,etogesic t tab,tablets,1*10,129.415
ETORICA 120,etorica 120,tablets,10,119.033
ETORICA-90,etorica-90,tablets,10TAB,96.345
ETORICA-MR TAB,etorica-mr tab,tablets,1*10,142.075
ETORIDOC 90,etoridoc 90,tablets,10TAB,35.01
ETORVEL-MR TAB,etorvel-mr tab,tablets,1*10,151.53
ETOS 90,etos 90,tablets,10,45.7
ETOSAID 90 TAB,etosaid 90 tab,tablets,1*10,81.4
ETOSAID-MR TAB,etosaid-mr tab,tablets,1*10,171.273
ETOSHINE 60,etoshine 60,tablets,10TAB,85.6
ETOSHINE 90,etoshine 90,tablets,10,98.69
ETOSHINE MR TAB,etoshine mr tab,tablets,10TAB,163.35
ETOS-MR TAB,etos-mr tab,tablets,1*10,90.245
ETOS P,etos p,tablets,1*10,40.05
ETOSYS TAB,etosys tab,tablets,1*10,132.47
ETOSYSY MF TAB,etosysy mf tab,tablets,1*10,144.005
ETOVA-400,etova-400,tablets,1*10,67.44
ETOVA-ER 400 TAB,etova-er 400 tab,tablets,1*10,91.97
ETOVA-ER 600 TAB,etova-er 600 tab,tablets,1*10,126.73
ETOVA-MR TAB,etova-mr tab,tablets,1*10,158.205
ETOWIN MR 4,etowin mr 4,tablets,10,162.65
EUBIOZ CAP,eubioz cap,tablets,1*10,94.47
EUCLIDE M 30 OD,euclide m 30 od,tablets,1*10,51.72
EUGLIM M1,euglim m1,tablets,1*10,47.53
EUGLIM-M2,euglim-m2,tablets,10TAB,68.063
EUREPA 0.5,eurepa 0.5,tablets,1*15,102.21
EUREPA 0.5 TAB,eurepa 0.5 tab,tablets,1*10,66.723
EUREPA 1,eurepa 1,tablets,15TAB,181.68
EUREPA 2   1*15,eurepa 2   1*15,tablets,15TAB,266.847
EUREPA MF 1 TAB,eurepa mf 1 tab,tablets,1*10,101.21
EVECARE CAPSULES,evecare capsules,tablets,30CAP,86.85
EVION  200MG TAB,evion  200mg tab,tablets,1*10,13.388
EVION  400MG TAB,evion  400mg tab,tablets,1*10,22.848
EVION 600 CAP+,evion 600 cap+,tablets,1*10,32.913
EVION LC TAB,evion lc tab,tablets,1*10,32.912
EXERMET 1000 TAB,exermet 1000 tab,tablets,15TAB,44.46
EXERMET 500,exermet 500,tablets,1*15,22.1595
EXERMET 850 SR TAB,exermet 850 sr tab,tablets,15TAB,46.89
EXERMET GM 501 TAB,exermet gm 501 tab,tablets,1*15,55.0065
EXERMET GM 502 TAB,exermet gm 502 tab,tablets,1*15,108.2895
EXTRAMMUNE TAB,extrammune tab,tablets,30TAB,82.944
EZACT 90,ezact 90,tablets,10,102.803
EZEEPAM PLUS 10 TAB,ezeepam plus 10 tab,tablets,1*10,87.7
EZEEPAM PLUS 5 TAB,ezeepam plus 5 tab,tablets,1*10,65.54
EZOLENT 0.5 TAB,ezolent 0.5 tab,tablets,1*10,42.244
EZOLENT .25 TAB,ezolent .25 tab,tablets,1*10,22.443
EZOLENT BETA 0.5 TAB,ezolent beta 0.5 tab,tablets,1*10,42.247
EZOLENT PLUS,ezolent plus,tablets,10TAB,58.663
FAA 20 TAB,faa 20 tab,tablets,10TAB,96.887
F&A FORTE,f&a forte,tablets,10,41.61
FAMCOOL-D,famcool-d,tablets,14TAB,20.7396
FAMOCID 20,famocid 20,tablets,14TAB,3.1822
FAMOCID 40,famocid 40,tablets,14TAB,5.761
FAMTAC 40MG,famtac 40mg,tablets,14,18.4912
F AND A TAB,f and a tab,tablets,10TAB,40.007
FARONAC 200 TAB,faronac 200 tab,tablets,1*6,376.32
FARONAC 300 ER,faronac 300 er,tablets,6TAB,342.105
FAROTIVE-300ER TAB,farotive-300er tab,tablets,1*6,437.7498
FARO-Z,faro-z,tablets,15CAP,33.6
FASTAC TAB,fastac tab,tablets,15TAB,12.33
FASTCLAV 250 TAB,fastclav 250 tab,tablets,1*10,215.415
FASTCLAV-500 TAB,fastclav-500 tab,tablets,1*10,421.125
FAXICAD 400,faxicad 400,tablets,1*10,223.867
FBX-40 TAB,fbx-40 tab,tablets,1*10,76.028
FBX 80 TAB,fbx 80 tab,tablets,1*10,126.727
FDC D3 60 TAB,fdc d3 60 tab,tablets,1*8,82.1848
FEBREX PLUS TAB,febrex plus tab,tablets,1*10,30.227
FEBUGET 40,febuget 40,tablets,1*10,91.393
FEBUGET 80,febuget 80,tablets,10TAB,149.77
FEBUMAC-40,febumac-40,tablets,1*10,91.242
FEBUMAC 80,febumac 80,tablets,10TAB,129.02
FEBURIC 40 1*15,feburic 40 1*15,tablets,15TAB,147.4635
FEBURIC 80,feburic 80,tablets,15,202.956
FEBUSTAT 40,febustat 40,tablets,15TAB,168.1755
FEBUTAX-40,febutax-40,tablets,10TAB,23.59
FEBUTAZ 40,febutaz 40,tablets,10TAB,92.34
FEBUTAZ 80,febutaz 80,tablets,10TAB,149.775
FEFOL CAP,fefol cap,tablets,1*15,68.28
FEFOL-Z CAP,fefol-z cap,tablets,1*15,120.3045
FELIZ S 10 TAB,feliz s 10 tab,tablets,1*10,70.13
FELIZ S-5 TAB,feliz s-5 tab,tablets,1*10,36.893
FELIZ S PLUS TAB,feliz s plus tab,tablets,1*10,94.47
FEMILON TAB,femilon tab,tablets,1*21,194
FEMIPLEX TAB,femiplex tab,tablets,1*1,92.935
FENAK PLUS TAB,fenak plus tab,tablets,10TAB,7.001
FENOLIP 145,fenolip 145,tablets,10,135.68
FENZA CAPSULES,fenza capsules,tablets,1CAP,119.03
FENZA CREAM,fenza cream,tablets,10G,84.56
FE PLUS,fe plus,tablets,10,115.194
FERICIP XT,fericip xt,tablets,10,35.005
FERIKIND-M,ferikind-m,tablets,1*10,85.185
FERISOME TAB,ferisome tab,tablets,10TAB,122.7
FEROMID 100,feromid 100,tablets,5,0
FERRIWOK-XT,ferriwok-xt,tablets,10TAB,44.8
FERRONEMIA,ferronemia,tablets,10,326.02
FERTOMID 100,fertomid 100,tablets,5TAB,49.24
FERTOMID 25,fertomid 25,tablets,10,44.158
FERTOMID-50,fertomid-50,tablets,10TAB,70.107
FESTAL-N TAB,festal-n tab,tablets,1*10,86.395
FEXID-XT TAB,fexid-xt tab,tablets,1*15,116.0745
FEXIFED-120 TAB,fexifed-120 tab,tablets,1*10,94.832
FEXIFED-180 TAB,fexifed-180 tab,tablets,1*10,126.443
FEXIFED-M,fexifed-m,tablets,10TAB,78.32
FEXIGRA 120,fexigra 120,tablets,10TAB,113.71
FEXIGRA 180,fexigra 180,tablets,10TAB,130.52
FEXY 120 TAB,fexy 120 tab,tablets,1*10,115.093
FEXY 180 TAB,fexy 180 tab,tablets,10TAB,152.64
FEZIC PLUS,fezic plus,tablets,10CAPS,59.276
FGLA-360,fgla-360,tablets,10,131.47
FHEAL VAGINAL,fheal vaginal,tablets,1 N,0
FIDOXIME 200,fidoxime 200,tablets,1*10,156.905
FIDOXIME CV,fidoxime cv,tablets,1*10,196.01
FITJEE CAP,fitjee cap,tablets,1*10,99.46
FLAGYL 200MG TAB,flagyl 200mg tab,tablets,1*15,8.7735
FLAGYL 400MG TAB,flagyl 400mg tab,tablets,1*15,16.2165
FLAMACE-SP TAB,flamace-sp tab,tablets,1*10,58.06
FLAMACE-T TAB,flamace-t tab,tablets,1*10,151.66
FLAVEDON MR,flavedon mr,tablets,10TAB,90.547
FLAVOSPAS  TAB,flavospas  tab,tablets,1*10,143.37
FLEXABENZ-ER CAP,flexabenz-er cap,tablets,1*10,133.64
FLEXABENZ-PLUS TAB,flexabenz-plus tab,tablets,1*10,159.67
FLEXABENZ TAB,flexabenz tab,tablets,10TAB,71.425
FLEXON-MR TAB,flexon-mr tab,tablets,1*10,15.393
FLEXON TAB,flexon tab,tablets,1*15,15.2205
FLODART PLUS CAPSUL,flodart plus capsul,tablets,1*10,123.32
FLODART TAB,flodart tab,tablets,1*10,51.893
FLOKIND-D TAB,flokind-d tab,tablets,10TAB,84.39
FLOKIND-F TAB,flokind-f tab,tablets,1*10,133.91
FLORA-BC-CAP,flora-bc-cap,tablets,1*10,23.42
FLOZEN AA TAB,flozen aa tab,tablets,1*10,60.83
FLOZEN PLUS TAB,flozen plus tab,tablets,1*10,62.16
FLUCOS 150,flucos 150,tablets,4,40.6952
FLUCOS 400,flucos 400,tablets,1*1,27.3733
FLUCOS DT 50,flucos dt 50,tablets,4TAB,29.3468
FLUCOS GEL,flucos gel,tablets,15GM,60.325
FLUCOS ITZ 200 CAP,flucos itz 200 cap,tablets,10CAP,199.674
FLUDAC 10 CAP,fludac 10 cap,tablets,1*10,25.46
FLUDAC 20MG CAP,fludac 20mg cap,tablets,1*15,46.8795
FLUKA-150,fluka-150,tablets,1*1,5.801
FLUMET 150,flumet 150,tablets,1*1,5.796
FLUMET 200,flumet 200,tablets,1TAB,6.5015
FLUMET-400,flumet-400,tablets,1TAB,9.829
FLUNARIN 10 TAB,flunarin 10 tab,tablets,1*10,37.435
FLUNARIN 5 TAB,flunarin 5 tab,tablets,1*10,17.693
FLUNER 10 MG,fluner 10 mg,tablets,1*10,39.175
FLUNIL 20,flunil 20,tablets,10,30.71
FLUNIL 40,flunil 40,tablets,10CAP,46.62
FLUSYST-150,flusyst-150,tablets,1*1,9.9783
FLUSYST 150 TAB,flusyst 150 tab,tablets,1*1,9.979
FLUTEE CAP,flutee cap,tablets,1*10,31.448
FLUTINE 20,flutine 20,tablets,1*10,29.06
FO29 TAB,fo29 tab,tablets,1*10,109.82
FOLIITRAX 10,foliitrax 10,tablets,10TAB,91.91
FOLIK 10MG,folik 10mg,tablets,1*10,19.61
FOLIK 5 TAB,folik 5 tab,tablets,1*10,11.707
FOLIK-DHA,folik-dha,tablets,10TAB,108.813
FOLIK-LMP,folik-lmp,tablets,10,83.972
FOLINEXT D,folinext d,tablets,15,79.8795
FOLINEXT GOLD,folinext gold,tablets,10TAB,103.685
FOLINEXT TAB,folinext tab,tablets,30TAB,53.73
FOLITRAX 10,folitrax 10,tablets,1*10,97.655
FOLITRAX 15,folitrax 15,tablets,10TAB,270.78
FOLITRAX 5 TAB,folitrax 5 tab,tablets,1*10,66.12
FOLITRAX-7.5 TAB,folitrax-7.5 tab,tablets,1*10,90.555
FOLOUP-200 TAB,foloup-200 tab,tablets,1*10,116.17
FOLOUP-CV 200 TAB,foloup-cv 200 tab,tablets,10TAB,186.25
FORXIGA 10MG,forxiga 10mg,tablets,1*14,610.2054
FOLVITE TAB,folvite tab,tablets,1*45,55.7325
FORCEF 250MG TAB,forcef 250mg tab,tablets,1*10,184.545
FORCEF-CV 250 TAB,forcef-cv 250 tab,tablets,1*6,134.4
FORCEF CV 500  TAB,forcef cv 500  tab,tablets,1*6,233.5902
FORECOX TAB,forecox tab,tablets,6TAB,52.449
FORGLYN CAP,forglyn cap,tablets,30CAP,208.46
FORMIN PG 2,formin pg 2,tablets,15TAB,165.1155
FORMIN SR 1000,formin sr 1000,tablets,15TAB,45.93
FORMIN SR 500,formin sr 500,tablets,15TAB,23.67
FOSTERA 10,fostera 10,tablets,1*10,92.803
FOSTERA 5,fostera 5,tablets,1*10,68
FOURTS B TAB,fourts b tab,tablets,15TAB,47.6205
FRISIUM 10 TAB,frisium 10 tab,tablets,1*15,116.205
FRISIUM 5 TAB,frisium 5 tab,tablets,1*15,65.37
FRUSELAC TAB,fruselac tab,tablets,1*10,32.26
FRUSENEX-100 TAB,frusenex-100 tab,tablets,1*10,5.196
FUBOX 40 TAB,fubox 40 tab,tablets,1*15,122.403
FULRICH CAP,fulrich cap,tablets,10CAP,56
FULRICH K2,fulrich k2,tablets,10CAP,42.127
FUNGEEHEAL 100,fungeeheal 100,tablets,7CAP,102.4002
FUNGEEHEAL 200,fungeeheal 200,tablets,1*10,215.04
FUNGICIDE TAB,fungicide tab,tablets,1*10,286.73
FUNGIKEM 200    1*7,fungikem 200    1*7,tablets,7CAP,118.2699
FUNGIKEM 200 CAPS,fungikem 200 caps,tablets,1*1,118.28
FUNZI IT 200 CAP,funzi it 200 cap,tablets,10CAP,195.15
FURIC 40MG 1*15,furic 40mg 1*15,tablets,15TAB,144.954
FURIC 80 1*15,furic 80 1*15,tablets,15TAB,218.0445
FUSYS 150MG TAB,fusys 150mg tab,tablets,1*6,46.1466
FUSYS 200 MG. TAB,fusys 200 mg. tab,tablets,1*4,27.67
FYNAL 500MG,fynal 500mg,tablets,5 TAB,29.42
FYNAL-OZ TAB,fynal-oz tab,tablets,6,37.6668
GABAMAX GOLD,gabamax gold,tablets,1*10,90.235
GABAMAX NT 50,gabamax nt 50,tablets,10,105.645
GABANEURON 100MG,gabaneuron 100mg,tablets,10TAB,65.28
GABANEURON NT 100,gabaneuron nt 100,tablets,1*10,57.135
GABANEURON NT 15TAB,gabaneuron nt 15tab,tablets,1*15,201.03
GABANEURON TAB,gabaneuron tab,tablets,1*15,161.28
GABANYL-NT,gabanyl-nt,tablets,10TAB,36.288
GABANYL TAB,gabanyl tab,tablets,10TAB,30.24
GABAPIN 100 TAB,gabapin 100 tab,tablets,1*15,83.715
GABAPIN 300MG,gabapin 300mg,tablets,15CAP,238.08
GABAPIN-400,gabapin-400,tablets,10,159.75
GABAPIN ME,gabapin me,tablets,10TAB,140.54
GABAPIN NT 100,gabapin nt 100,tablets,1*15,75.3405
GABAPIN NT,gabapin nt,tablets,15TAB,313.3455
GALVUS 50/1000 1*15,galvus 50/1000 1*15,tablets,15TAB,244.2405
GALVUS 50 1*15,galvus 50 1*15,tablets,15TAB,224.8455
GALVUS 50/850 1*15,galvus 50/850 1*15,tablets,15TAB,237.3
GALVUS MET 50/500,galvus met 50/500,tablets,15TAB,225.723
GANATON OD CAP,ganaton od cap,tablets,1*10,264.72
GANATON TAB,ganaton tab,tablets,1*10,96.597
GANATON TOTAL CAP,ganaton total cap,tablets,1*10,295.368
GARDENAL 30MG TAB,gardenal 30mg tab,tablets,1*30,31.461
GARDENAL 60MG TAB,gardenal 60mg tab,tablets,1*30,45.354
GASEX TAB,gasex tab,tablets,1*100,85.93
GASTICA-FIZ,gastica-fiz,tablets,1*6,33.0252
GB29 CAP,gb29 cap,tablets,1*10,84.49
GB-29 PLUS TAB,gb-29 plus tab,tablets,1*10,122.505
GB29 SEMI,gb29 semi,tablets,10,69.125
GB 29 SR,gb 29 sr,tablets,10TAB,111.51
GB-29 TAB',gb-29 tab',tablets,10TAB,95.065
GB 29 TOTAL TAB,gb 29 total tab,tablets,1*10,149.766
GELUSIL MPS TAB,gelusil mps tab,tablets,1*10,7.676
GEMCAL-DS CAP,gemcal-ds cap,tablets,1*15,161.5335
GEMCAL PLUS,gemcal plus,tablets,10,192.01
GEMER 0.5,gemer 0.5,tablets,1*10,22.847
GEMER-1 TAB,gemer-1 tab,tablets,1*10,59.353
GEMER 2,gemer 2,tablets,10TAB,86.8
GEMER DS 1,gemer ds 1,tablets,10TAB,64.513
GEMER FORTE 1,gemer forte 1,tablets,10TAB,48.775
GEMER FORTE 2,gemer forte 2,tablets,10TAB,80.64
GEMER P1 TAB,gemer p1 tab,tablets,1*10,86.013
GEMFIT MAX,gemfit max,tablets,10,193.201
GEMFUL CAP,gemful cap,tablets,1*15,30
GEMINOR M1,geminor m1,tablets,15TAB,79.41
GEMINOR M1 FORTE,geminor m1 forte,tablets,15TAB,83.715
GEMINOR M2 FORTE,geminor m2 forte,tablets,15TAB,109.6395
GEMINOR M2 TAB,geminor m2 tab,tablets,1*15,105.8805
GEMINOR M 500MG,geminor m 500mg,tablets,1*15,67.2
GEMINOR MP 2,geminor mp 2,tablets,15TAB,150.5295
GEMSOLIN D3 60K,gemsolin d3 60k,tablets,4CAPS,25.0032
GEMSOLINE CAP,gemsoline cap,tablets,10CAP,15.002
GEMVERT TAB,gemvert tab,tablets,1*10,63.78
GEOMAX 3G,geomax 3g,tablets,10CAPS,30.005
GEOMAX 4G CAP,geomax 4g cap,tablets,10CAP,39.312
GEOMAX D3 STRONG,geomax d3 strong,tablets,1*10,80.64
GEOMAX PLUS SG CAP,geomax plus sg cap,tablets,10CAP,36.287
GERIFLO-D,geriflo-d,tablets,1*1,558.8
GESTOFIT 300 SR,gestofit 300 sr,tablets,10TANB,419.475
GESTOFIT SR 200,gestofit sr 200,tablets,1*10,314.31
GIBTULIO 25MG,gibtulio 25mg,tablets,1*10,496.353
GIBTULIO MET 12.5/1000,gibtulio met 12.5/1000,tablets,10,338.68
GLADOR 1MG,glador 1mg,tablets,15TAB,44.22
GLEEDOX 10TAB,gleedox 10tab,tablets,10TAB,45.547
GLENVITA 5G,glenvita 5g,tablets,1*15,35.0055
GLIDEPAT MET XR 500,glidepat met xr 500,tablets,10TAB,303.73
GLIMER 1,glimer 1,tablets,15TAB,45.2655
GLIMER-1 MG  TAB,glimer-1 mg  tab,tablets,1*10,29.157
GLIMER 2MG TAB,glimer 2mg tab,tablets,1*10,42.655
GLIMESTAR 1 TAB,glimestar 1 tab,tablets,1*10,20.7
GLIMESTAR-2 TAB,glimestar-2 tab,tablets,1*10,25.653
GLIMESTAR 3,glimestar 3,tablets,10,41.865
GLIMESTAR M1 FORTE,glimestar m1 forte,tablets,30TAB,161.28
GLIMESTAR-M1 TAB,glimestar-m1 tab,tablets,1*10,44.995
GLIMESTAR M 2 FORTE,glimestar m 2 forte,tablets,30TAB,202.506
GLIMESTAR M2 TAB,glimestar m2 tab,tablets,1*10,69.693
GLIMESTAR-PM1 TAB,glimestar-pm1 tab,tablets,1*10,66.093
GLIMESTAR PM2 TAB,glimestar pm2 tab,tablets,1*10,82.633
GLIMET DS,glimet ds,tablets,10TAB,11.45
GLIMIN-1,glimin-1,tablets,10TAB,24.193
GLIMIPREX ME 1/500,glimiprex me 1/500,tablets,1*10,42.247
GLIMIPREX MF 2/500,glimiprex mf 2/500,tablets,1*10,60.16
GLIMISAVE 1,glimisave 1,tablets,15TAB,46.134
GLIMISAVE 2,glimisave 2,tablets,15TAB,71.9445
GLIMISAVE M1,glimisave m1,tablets,1*15,87.5925
GLIMISAVE M1 750,glimisave m1 750,tablets,1*15,82.803
GLIMISAVE M1 FORTE,glimisave m1 forte,tablets,1*15,83.2845
GLIMISAVE M2 FORTE,glimisave m2 forte,tablets,15TAB,112.2495
GLIMISAVE M2 TAB,glimisave m2 tab,tablets,1*15,125.334
GLIMISAVE M3,glimisave m3,tablets,15,114.294
GLIMISAVE M3 FORTE,glimisave m3 forte,tablets,15TAB,127.7745
GLIMISAVE MAX 1,glimisave max 1,tablets,15,91.08
GLIMISAVE MAX FORTE 3,glimisave max forte 3,tablets,15TAB,108
GLIMISAVE MV1,glimisave mv1,tablets,15TAB,147.5385
GLIMISAVE MV 2,glimisave mv 2,tablets,15TAB,194.4705
GLIMISAVE MV 2.3,glimisave mv 2.3,tablets,10TAB,118.873
GLIMISAVE MV 3.3,glimisave mv 3.3,tablets,10TAB,116.952
GLIMITAL M1,glimital m1,tablets,10,0
GLIMITAL M2,glimital m2,tablets,10TAB,43.115
GLIMULIN 2 MF,glimulin 2 mf,tablets,15TAB,187.7805
GLIMULIN MV 2,glimulin mv 2,tablets,1*10,91.201
GLIMY-1,glimy-1,tablets,1*14,42.035
GLIMY 2,glimy 2,tablets,14TAB,68.1254
GLIMY M1,glimy m1,tablets,15TAB,92.9355
GLIMY M2,glimy m2,tablets,15TAB,138.12
GLIMY MV 1,glimy mv 1,tablets,10TAB,70.547
GLIMY MV2,glimy mv2,tablets,10TAB,89.137
GLIPACURE 50,glipacure 50,tablets,1*15,80.5245
GLIPACURE M 500,glipacure m 500,tablets,1*15,103.5645
GLIPON MF,glipon mf,tablets,10TAB,90.235
GLIPON MF FORTE,glipon mf forte,tablets,10,106.783
